Account Name,Account ID,CSM Name,Account Tier,Projected Deal Value,Months Active,"Website with Elements, Onetime #","Website with Elements, Recurring #","Website without Elements, One-time #","Website without Elements, Recurring #","Campaign Pages, One-time #","Campaign Pages, Recurring #","P2P, One-time #","P2P, Recurring #","Virtual Terminal, One-time #","Virtual Terminal, Recurring #","API, One-time #","API, Recurring #","Recurring Migrations, #","Totals, One-time #","Totals, Recurring #","Website with Elements, One-time %","Website with Elements, Recurring %","Website without Elements, One-time %","Website without Elements, Recurring %","Campaign Pages, One-time %","Campaign Pages, Recurring %","P2P, One-time %","P2P, Recurring %","Total, One-time %","Total, Recurring %","Employer Name Filled, Donors %","USED Suggested Amount, Donations %","INCREASED Suggested Amount, Donations %","DECREASED Suggested Amount, Donations %","HAD NO Suggested Amount, Donations %",Total Donations Volume $
8th Amendment Project,AZUJPDVN,,,,4,$913,$173,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$913,$173,84.1%,15.9%,,,,,,,84.1%,15.9%,0.0%,11.8%,2.0%,86.3%,0.0%,"$1,085"
Psarras Foundation,AFEQBASA, ,,,2,$0,$0,$0,$0,"$1,082",$0,$0,$0,$0,$0,$0,$0,$0,"$1,082",$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,"$1,082"
Skyline Lodge,ARNKMLTT, ,,,2,$0,$0,"$1,078",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,078",$0,,,100.0%,0.0%,,,,,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,"$1,078"
Your Hearing Dog Inc,AAGNLPKE, ,,,3,$0,$0,$0,$0,"$1,076",$0,$0,$0,$0,$0,$0,$0,$0,"$1,076",$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,"$1,076"
Dysunderstood,AJNBCBVR, ,,,14,$0,$0,"$1,076",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,076",$0,,,100.0%,0.0%,,,,,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,"$1,076"
Highland Lakes Habitat for Humanity,ASWSMLSH, ,Tier 5 ($5K–10K),,4,"$1,073",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,073",$0,100.0%,0.0%,,,,,,,100.0%,0.0%,0.0%,0.0%,71.4%,28.6%,0.0%,"$1,073"
Sheridan Rising Together For Equity,AKRMATJN,,,,2,$0,$0,$0,$0,"$1,071",$0,$0,$0,$0,$0,$0,$0,$0,"$1,071",$0,,,,,100.0%,0.0%,,,100.0%,0.0%,28.6%,,,,,"$1,071"
Vermont Wing,ADLQAUNV,,,,15,$0,$0,"$1,070",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,070",$0,,,100.0%,0.0%,,,,,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,"$1,070"
Burnaway,AWJKRHPM, ,Tier 6 (<$5K),,2,$0,$0,$0,$0,"$1,068",$0,$0,$0,$0,$0,$0,$0,$0,"$1,068",$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,"$1,068"
Threatened Species Conservancy,AXMFRVCY,Alias (DIY),,,5,$86,$0,$257,$440,$247,$35,$0,$0,$0,$0,$0,$0,$0,$590,$476,100.0%,0.0%,36.9%,63.1%,87.5%,12.5%,,,55.4%,44.6%,0.0%,20.0%,26.7%,53.3%,0.0%,"$1,066"
The Tekoa Project,AKEZDSLM, ,Tier 6 (<$5K),$600,25,$0,"$1,064",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,064",0.0%,100.0%,,,,,,,0.0%,100.0%,,,,,,"$1,064"
Stop TB Partnership,AXBKDEQB,,,,2,$0,$0,$0,$0,"$1,062",$0,$0,$0,$0,$0,$0,$0,$0,"$1,062",$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,"$1,062"
Resolution Movement,AEJTWFMC,Alias (DIY),,,8,$776,$190,$27,$67,$0,$0,$0,$0,$0,$0,$0,$0,$0,$803,$256,80.4%,19.6%,29.0%,71.0%,,,,,75.8%,24.2%,0.0%,11.1%,11.1%,74.1%,3.7%,"$1,059"
Wildlife Corridor Foundation,ALTXVZGQ,,,,2,$0,$0,$0,$0,"$1,059",$0,$0,$0,$0,$0,$0,$0,$0,"$1,059",$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,"$1,059"
Future Tree Foundation,AKDDBAMP,,,,2,$0,$0,$0,$0,"$1,059",$0,$0,$0,$0,$0,$0,$0,$0,"$1,059",$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,"$1,059"
Building Equity and Alignment for Environmental Justice (BEA),ARTQGTBH,,,,2,$0,$0,$0,$0,"$1,053",$0,$0,$0,$0,$0,$0,$0,$0,"$1,053",$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,"$1,053"
YIMBY Oakland County,ALGSTBRD,,,,25,$0,$905,$0,$144,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,049",0.0%,100.0%,0.0%,100.0%,,,,,0.0%,100.0%,0.0%,30.0%,0.0%,70.0%,0.0%,"$1,049"
Associazione Luisa Monti ODV,AALHWUNP, ,Tier 6 (<$5K),,25,$0,$583,$0,$463,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,046",0.0%,100.0%,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,"$1,046"
Red de Observadores Ciudadanos,ABDCHSLD,,,,21,$0,$0,$0,"$1,046",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,046",,,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,"$1,046"
Irish Cultural Centre Hammersmith,AXALZEDV,Alias (DIY),Tier 4 ($10K–$20K),$0,19,$0,$0,$0,$0,$369,$674,$0,$0,$0,$0,$0,$0,$0,$369,$674,,,,,35.4%,64.6%,,,35.4%,64.6%,0.0%,,,,,"$1,043"
Uncharitable Movie,AKTGGHUY, ,Tier 6 (<$5K),"$1,000",25,$44,$997,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$44,$997,4.2%,95.8%,,,,,,,4.2%,95.8%,0.0%,0.0%,0.0%,100.0%,0.0%,"$1,041"
FIRM / HaMaayan Congregation,AKNDNYZF,,,,25,$0,$0,"$1,012",$20,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,012",$20,,,98.1%,1.9%,,,,,98.1%,1.9%,0.0%,0.0%,28.6%,71.4%,0.0%,"$1,032"
Help Them Thrive,ASSBFRJF, ,Tier 6 (<$5K),,25,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$1,031",$0,$0,$0,$0,"$1,031",,,,,,,,,0.0%,100.0%,,,,,,"$1,031"
WTDR Dance Company,ARFDMYYD, ,Tier 6 (<$5K),$600,25,$162,$864,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$162,$864,15.8%,84.2%,,,,,,,15.8%,84.2%,0.0%,0.0%,100.0%,0.0%,0.0%,"$1,026"
Vivamos Mejor Guatemala,AJMURAZH,,,,3,$0,$0,$0,$11,"$1,011",$0,$0,$0,$0,$0,$0,$0,$0,"$1,011",$11,,,0.0%,100.0%,100.0%,0.0%,,,98.9%,1.1%,0.0%,0.0%,0.0%,100.0%,0.0%,"$1,022"
Truckee Community Theater,ADVWVCQJ, ,Tier 6 (<$5K),,12,$173,$0,$0,$0,$633,$215,$0,$0,$0,$0,$0,$0,$0,$806,$215,100.0%,0.0%,,,74.6%,25.4%,,,78.9%,21.1%,0.0%,0.0%,33.3%,66.7%,0.0%,"$1,021"
Gods Way Foundation,ARMVUBNM,Alias (DIY),,,9,$340,$0,$614,$0,$63,$0,$0,$0,$0,$0,$0,$0,$0,"$1,016",$0,100.0%,0.0%,100.0%,0.0%,100.0%,0.0%,,,100.0%,0.0%,0.0%,14.8%,3.7%,81.5%,0.0%,"$1,016"
Passages Connecting Fathers and Families,AGMMBAWS, ,Tier 4 ($10K–$20K),$800,25,$678,$325,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$678,$325,67.6%,32.4%,,,,,,,67.6%,32.4%,0.0%,0.0%,100.0%,0.0%,0.0%,"$1,003"
Nettleham Woodland ​Trust,AGGYUMJU,Alias (DIY),,,12,$0,$0,$0,$0,$855,$146,$0,$0,$0,$0,$0,$0,$0,$855,$146,,,,,85.4%,14.6%,,,85.4%,14.6%,0.0%,,,,,"$1,001"
Conversation Over Borders,ALZVMGTG, ,,,3,$0,$0,$0,$14,$920,$66,$0,$0,$0,$0,$0,$0,$0,$920,$80,,,0.0%,100.0%,93.4%,6.6%,,,92.0%,8.0%,22.2%,0.0%,0.0%,100.0%,0.0%,"$1,000"
Discipled Church,ABSTHSXC, ,Tier 5 ($5K–10K),,22,$0,$0,$0,$200,$535,$260,$0,$0,$0,$0,$0,$0,$0,$535,$460,,,0.0%,100.0%,67.3%,32.7%,,,53.8%,46.2%,0.0%,,,,,$995
Urban Tech Hero,AFCQDFWY, ,Tier 5 ($5K–10K),,25,$0,$0,$0,$0,$994,$0,$0,$0,$0,$0,$0,$0,$0,$994,$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,$994
Press Banner,AMJUJLFK,,,,11,$0,$0,$0,$0,$81,$165,$0,$0,$0,$0,$0,$0,$747,$81,$912,,,,,33.0%,67.0%,,,8.2%,91.8%,0.0%,,,,,$994
Adaptive Adventures,ADXYUDNG, ,,,2,$27,$0,$965,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$992,$0,100.0%,0.0%,100.0%,0.0%,,,,,100.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,$992
Code For Life,AVFXLPHN, ,Tier 5 ($5K–10K),,21,$0,$0,$927,$54,$0,$0,$0,$0,$0,$0,$0,$0,$0,$927,$54,,,94.5%,5.5%,,,,,94.5%,5.5%,0.0%,14.3%,14.3%,71.4%,0.0%,$981
Weston Frontlines Centre,AWVBAMJA, ,,,3,$0,$0,$0,$0,$981,$0,$0,$0,$0,$0,$0,$0,$0,$981,$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,$981
Louisville Public Media,AMQSAJSW, ,Tier 2 ($50K–$100K),"$63,000",25,$0,$647,$0,$0,$0,$332,$0,$0,$0,$0,$0,$0,$0,$0,$979,0.0%,100.0%,,,0.0%,100.0%,,,0.0%,100.0%,,,,,,$979
Native Plant Community Gardens Partnership,AUNANKDW,,,,22,$534,$68,$375,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$909,$68,88.6%,11.4%,100.0%,0.0%,,,,,93.0%,7.0%,0.0%,28.6%,28.6%,42.9%,0.0%,$977
Cursinho FGV,AGHSMCSW, ,Tier 6 (<$5K),$400,25,$0,$0,$0,$975,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$975,,,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,$975
Wellspring Christian Family Schools,ABFFZGZP, ,Tier 6 (<$5K),$750,23,$974,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$974,$0,100.0%,0.0%,,,,,,,100.0%,0.0%,0.0%,0.0%,75.0%,25.0%,0.0%,$974
India Interest Group,AAKWPPLW,,,,10,$175,$0,$0,$0,$798,$0,$0,$0,$0,$0,$0,$0,$0,$973,$0,100.0%,0.0%,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,$973
Dallas Neighbors for Housing,AYMHTBVM,,,,25,$0,$968,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$968,0.0%,100.0%,,,,,,,0.0%,100.0%,0.0%,25.0%,0.0%,75.0%,0.0%,$968
Ducks on a Mission,ATRDSWDV, ,Tier 6 (<$5K),$200,25,$0,$0,$0,$0,$881,$86,$0,$0,$0,$0,$0,$0,$0,$881,$86,,,,,91.1%,8.9%,,,91.1%,8.9%,0.0%,,,,,$967
Shalom Media Germany,AKEKWYHC,,,,15,$897,$58,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$11,$897,$69,93.9%,6.1%,,,,,,,92.8%,7.2%,0.0%,77.8%,11.1%,11.1%,0.0%,$967
The EverWell International Scholarship,ABPNBUAX,,,,23,$0,$0,$0,$0,$738,$229,$0,$0,$0,$0,$0,$0,$0,$738,$229,,,,,76.3%,23.7%,,,76.3%,23.7%,0.0%,,,,,$967
Camp Aldersgate,ALRVMTEE, ,Tier 6 (<$5K),"$3,000",25,$0,$0,$0,$963,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$963,,,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,$963
Zach Hoefler Memorial Trust,AMDDGMHF, ,,,14,$347,$239,$374,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$720,$239,59.3%,40.7%,100.0%,0.0%,,,,,75.1%,24.9%,0.0%,33.3%,16.7%,33.3%,16.7%,$959
Shalom World,AKKSRCBW,Oscar Gomez,Tier 3 ($20K–$50K),"$36,000",25,$0,$849,$0,$10,$0,$0,$0,$0,$0,$100,$0,$0,$0,$0,$959,0.0%,100.0%,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,$959
East Bay YIMBY,ARUCZJZN,,,,17,$0,$797,$0,$161,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$958,0.0%,100.0%,0.0%,100.0%,,,,,0.0%,100.0%,0.0%,38.5%,0.0%,61.5%,0.0%,$958
Aseda Academy,AJXVESUW, ,,,2,$0,$0,$930,$27,$0,$0,$0,$0,$0,$0,$0,$0,$0,$930,$27,,,97.2%,2.8%,,,,,97.2%,2.8%,0.0%,0.0%,60.0%,40.0%,0.0%,$958
Unravel Healthcare Alliance,AZHNFGZS,,,,2,$957,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$957,$0,100.0%,0.0%,,,,,,,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,$957
Bullens Heimann & Friends Foundation,ALRWZAME, ,Tier 5 ($5K–10K),,25,$0,$608,$343,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$343,$608,0.0%,100.0%,100.0%,0.0%,,,,,36.1%,63.9%,0.0%,100.0%,0.0%,0.0%,0.0%,$952
WE AID gGmbH,AECLQNPP,,,,3,$107,$44,$798,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$905,$44,71.1%,28.9%,100.0%,0.0%,,,,,95.4%,4.6%,0.0%,0.0%,71.4%,28.6%,0.0%,$948
Blue Alliance Philippines,AHPLDTNN,Alias (DIY),Tier 6 (<$5K),"$1,000",24,$0,$0,$384,$557,$0,$0,$0,$0,$0,$0,$0,$0,$0,$384,$557,,,40.8%,59.2%,,,,,40.8%,59.2%,0.0%,0.0%,100.0%,0.0%,0.0%,$941
The Goonj Foundation,ABJVHCTA, ,Tier 6 (<$5K),,22,$0,$0,$611,$326,$0,$0,$0,$0,$0,$0,$0,$0,$0,$611,$326,,,65.2%,34.8%,,,,,65.2%,34.8%,0.0%,0.0%,0.0%,0.0%,100.0%,$937
Help Group,ARMJDMTW,Alias (DIY),,,2,$0,$0,$836,$0,$100,$0,$0,$0,$0,$0,$0,$0,$0,$936,$0,,,100.0%,0.0%,100.0%,0.0%,,,100.0%,0.0%,0.0%,33.3%,33.3%,33.3%,0.0%,$936
Spoons,ADSBEBBD, ,Tier 6 (<$5K),"$2,500",25,$0,$123,$0,$812,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$935,0.0%,100.0%,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,$935
Cancer Guide Research Foundation,AEVCCGMU, ,Tier 6 (<$5K),$900,25,$0,$0,$0,$0,$49,$883,$0,$0,$0,$0,$0,$0,$0,$49,$883,,,,,5.2%,94.8%,,,5.2%,94.8%,0.0%,,,,,$932
Mustard Seed Global,APYLKSJU, ,Tier 6 (<$5K),,21,$458,$161,$303,$0,$4,$0,$0,$0,$0,$0,$0,$0,$0,$764,$161,74.0%,26.0%,100.0%,0.0%,100.0%,0.0%,,,82.6%,17.4%,0.0%,0.0%,60.0%,40.0%,0.0%,$925
Lady Freethinker,AKRAMBAG, ,Tier 3 ($20K–$50K),,25,$0,$920,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$920,0.0%,100.0%,,,,,,,0.0%,100.0%,,,,,,$920
Oklahoma Interscholastic Cycling League,ACJDCCTH,,,,17,$108,$275,$535,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$643,$275,28.2%,71.8%,100.0%,0.0%,,,,,70.0%,30.0%,0.0%,0.0%,100.0%,0.0%,0.0%,$918
Hope for Ukraine,ABNNUBTH, ,,,3,$868,$50,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$868,$50,94.6%,5.4%,,,,,,,94.6%,5.4%,0.0%,100.0%,0.0%,0.0%,0.0%,$918
The Salvation Army Silicon Valley,AJXWVULQ, ,Tier 5 ($5K–10K),"$5,000",17,$0,$0,$0,$0,$143,$775,$0,$0,$0,$0,$0,$0,$0,$143,$775,,,,,15.6%,84.4%,,,15.6%,84.4%,0.0%,,,,,$918
1A Najam Institure - DE,AVDNSGKV,,,,6,$661,$47,$0,$0,$205,$0,$0,$0,$0,$0,$0,$0,$0,$866,$47,93.4%,6.6%,,,100.0%,0.0%,,,94.9%,5.1%,0.0%,35.0%,5.0%,60.0%,0.0%,$913
Native Evangelical Fellowship of Canada (NEFC),APTYJWEU, ,,,2,$0,$0,$0,$0,$913,$0,$0,$0,$0,$0,$0,$0,$0,$913,$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,$913
Together For Timnath,ASHJPVYY,,,,23,$0,$0,$0,$0,$0,$909,$0,$0,$0,$0,$0,$0,$0,$0,$909,,,,,0.0%,100.0%,,,0.0%,100.0%,0.0%,,,,,$909
ALIAS Chamber Ensemble,ABEFYGNC, ,,,25,$0,$0,$0,$901,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$901,,,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,$901
PrevenCasa,AWCLVUYJ,,,,25,$0,$0,$0,$893,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$893,,,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,$893
Start Lighthouse,AANYTUNF, ,Tier 6 (<$5K),,25,$297,$240,$0,$354,$0,$0,$0,$0,$0,$0,$0,$0,$0,$297,$594,55.3%,44.7%,0.0%,100.0%,,,,,33.4%,66.6%,33.3%,0.0%,33.3%,66.7%,0.0%,$891
Dr. Bill Lewis Center for Children,AMXVDGXU,,,,25,$272,$418,$133,$0,$0,$68,$0,$0,$0,$0,$0,$0,$0,$404,$487,39.4%,60.6%,100.0%,0.0%,0.0%,100.0%,,,45.4%,54.6%,0.0%,14.3%,14.3%,71.4%,0.0%,$891
The Yarns Men,AAWWHXGG,Alias (DIY),Tier 6 (<$5K),"$5,000",25,$22,$0,$417,$324,$126,$0,$0,$0,$0,$0,$0,$0,$0,$565,$324,100.0%,0.0%,56.3%,43.7%,100.0%,0.0%,,,63.6%,36.4%,0.0%,0.0%,22.2%,66.7%,11.1%,$889
CatalyticAction,AFLTKPRE, ,Tier 6 (<$5K),,16,$0,$0,$702,$180,$0,$0,$0,$0,$0,$0,$0,$0,$0,$702,$180,,,79.6%,20.4%,,,,,79.6%,20.4%,0.0%,0.0%,50.0%,50.0%,0.0%,$882
Go Amber,ACLSFNHW,,,,25,$0,$360,$0,$519,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$879,0.0%,100.0%,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,$879
Hostelling International USA,AUPBBQNS, ,Tier 6 (<$5K),"$1,000",25,$0,$578,$0,$0,$0,$298,$0,$0,$0,$0,$0,$0,$0,$0,$876,0.0%,100.0%,,,0.0%,100.0%,,,0.0%,100.0%,,,,,,$876
TruFund,AYNBURWR, ,Tier 4 ($10K–$20K),$900,14,$11,$0,$856,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$868,$0,100.0%,0.0%,100.0%,0.0%,,,,,100.0%,0.0%,11.1%,22.2%,44.4%,33.3%,0.0%,$868
MetroWest Writers' Guild,ARMVTTUQ, ,,,2,$850,$16,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$850,$16,98.1%,1.9%,,,,,,,98.1%,1.9%,0.0%,100.0%,0.0%,0.0%,0.0%,$866
Face Equality International,AFSHBYNR, ,,,2,$0,$0,$856,$9,$0,$0,$0,$0,$0,$0,$0,$0,$0,$856,$9,,,99.0%,1.0%,,,,,99.0%,1.0%,0.0%,16.7%,33.3%,50.0%,0.0%,$865
Kearney Community Sustainable Housing,AZSKESKJ, ,,,11,$0,$0,$172,$0,$0,$0,$692,$0,$0,$0,$0,$0,$0,$865,$0,,,100.0%,0.0%,,,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,$865
Commonwealth Cultural Foundation,ABXMJSPR, ,Tier 6 (<$5K),,3,$0,$0,$0,$0,$302,$562,$0,$0,$0,$0,$0,$0,$0,$302,$562,,,,,34.9%,65.1%,,,34.9%,65.1%,0.0%,,,,,$865
VOA Puerto Rico,AHKELJHL,Wil Pope,,,7,$159,$0,$705,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$864,$0,100.0%,0.0%,100.0%,0.0%,,,,,100.0%,0.0%,0.0%,18.2%,18.2%,63.6%,0.0%,$864
Just Treatment,AWAEDNAP,Alias (DIY),Tier 5 ($5K–10K),,25,$606,$258,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$606,$258,70.1%,29.9%,,,,,,,70.1%,29.9%,0.0%,100.0%,0.0%,0.0%,0.0%,$864
Street Soccer USA - NY,AJDXEKSV,,,,25,$0,$43,$0,$68,$750,$0,$0,$0,$0,$0,$0,$0,$0,$750,$111,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,,,87.1%,12.9%,0.0%,,,,,$861
Arkansas Wing,AHWZQFAH,,,,21,$0,$0,$859,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$859,$0,,,100.0%,0.0%,,,,,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,$859
"Sustainable CT, Inc",AFJJHSML, ,Tier 6 (<$5K),$150,25,$0,$858,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$858,0.0%,100.0%,,,,,,,0.0%,100.0%,,,,,,$858
Saferworld,AKZAYFVY,Alias (DIY),,,8,$0,$0,$0,$0,$806,$52,$0,$0,$0,$0,$0,$0,$0,$806,$52,,,,,94.0%,6.0%,,,94.0%,6.0%,0.0%,,,,,$858
Istoria Foundation,AUXEVXUK,,,,2,$0,$0,$0,$0,$850,$0,$0,$0,$0,$0,$0,$0,$0,$850,$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,$850
Tequio Jurídico,AGRGMFQR,Alias (DIY),,,15,$156,$312,$0,$224,$0,$157,$0,$0,$0,$0,$0,$0,$0,$156,$693,33.3%,66.7%,0.0%,100.0%,0.0%,100.0%,,,18.4%,81.6%,0.0%,18.2%,18.2%,63.6%,0.0%,$848
The River Retreat,AECYEGQG,,,,25,$316,$100,$428,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$744,$100,76.0%,24.0%,100.0%,0.0%,,,,,88.2%,11.8%,0.0%,0.0%,33.3%,66.7%,0.0%,$844
Southern California Public Radio,AQKSMLWH, ,Tier 3 ($20K–$50K),"$43,000",10,$309,$199,$336,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$645,$199,60.8%,39.2%,100.0%,0.0%,,,,,76.4%,23.6%,0.0%,8.3%,50.0%,41.7%,0.0%,$843
Court 16 Foundation,AWYQUCYE, ,Tier 6 (<$5K),"$5,000",6,$842,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$842,$0,100.0%,0.0%,,,,,,,100.0%,0.0%,0.0%,0.0%,60.0%,40.0%,0.0%,$842
Rehema for Kids,AQFKUAAT, ,Tier 4 ($10K–$20K),"$12,000",25,$0,$240,$0,$600,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$840,0.0%,100.0%,0.0%,100.0%,,,,,0.0%,100.0%,,,,,,$840
Minority Wealth Gap,AVVMTGJU, ,,,3,$0,$0,$0,$0,$838,$0,$0,$0,$0,$0,$0,$0,$0,$838,$0,,,,,100.0%,0.0%,,,100.0%,0.0%,0.0%,,,,,$838
Espiral por la Vida A. C.,AHRZQLDC, ,,,15,$0,$0,$0,$0,$76,$756,$0,$0,$0,$0,$0,$0,$0,$76,$756,,,,,9.1%,90.9%,,,9.1%,90.9%,0.0%,,,,,$832
Louie's Trust,ABABCRDP, ,Tier 5 ($5K–10K),,25,$771,$60,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$771,$60,92.8%,7.2%,,,,,,,92.8%,7.2%,0.0%,0.0%,100.0%,0.0%,0.0%,$831
Colorado Wing,AMZRQECY,,,,23,$0,$0,$318,$513,$0,$0,$0,$0,$0,$0,$0,$0,$0,$318,$513,,,38.2%,61.8%,,,,,38.2%,61.8%,0.0%,20.0%,40.0%,40.0%,0.0%,$831
Trash4Tokens,ALSAQDBN, ,Tier 6 (<$5K),,25,$656,$108,$0,$63,$0,$0,$0,$0,$0,$0,$0,$0,$0,$656,$171,85.8%,14.2%,0.0%,100.0%,,,,,79.3%,20.7%,0.0%,60.0%,0.0%,40.0%,0.0%,$827
Kind Kulture,AGJZZYJH, ,Tier 6 (<$5K),$500,25,$428,$236,$162,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$590,$236,64.4%,35.6%,100.0%,0.0%,,,,,71.4%,28.6%,28.6%,85.7%,14.3%,0.0%,0.0%,$827
Maoz Israel (Germany),AKTWQHFU,,,,7,$653,$0,$0,$146,$19,$0,$0,$0,$0,$0,$0,$0,$0,$672,$146,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,,,82.2%,17.8%,0.0%,100.0%,0.0%,0.0%,0.0%,$818
讚美之泉[新加坡SG部門],ALUXFDAA,,,,18,$0,$19,$397,$397,$0,$0,$0,$0,$0,$0,$0,$0,$0,$397,$415,0.0%,100.0%,50.0%,50.0%,,,,,48.9%,51.1%,0.0%,0.0%,100.0%,0.0%,0.0%,$812
High Valley Community Center,AEQLQSFB, ,Tier 6 (<$5K),,24,$0,$811,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$811,0.0%,100.0%,,,,,,,0.0%,100.0%,,,,,,$811
Brothers Building A Better Nation,ARGQMYJP,Alias (DIY),,,15,$324,$110,$377,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$701,$110,74.7%,25.3%,100.0%,0.0%,,,,,86.5%,13.5%,0.0%,16.7%,50.0%,33.3%,0.0%,$810
Youth Market | American Heart Association,ABWDLBTL,,,,24,$0,$0,$340,$469,$0,$0,$0,$0,$0,$0,$0,$0,$0,$340,$469,,,42.0%,58.0%,,,,,42.0%,58.0%,10.0%,10.0%,30.0%,60.0%,0.0%,$810
Brilliant Labs,AVFQFSGC, ,Tier 6 (<$5K),"$3,000",25,$386,$422,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$386,$422,47.8%,52.2%,,,,,,,47.8%,52.2%,0.0%,0.0%,100.0%,0.0%,0.0%,$808
Together for Mental Wellbeing,AZHLWUUG,Alias (DIY),Tier 6 (<$5K),,24,$807,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$807,$0,100.0%,0.0%,,,,,,,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,$807
