"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"Dreams For Life","dreamsforlife.org","dreamsforlife.org","Prospect","","Nurture","G12: Voluntary Health Associations and Medical Disciplines Fund Raising and Fund Distribution","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","-"
"Cultivate","cultivatetraining.org","cultivatetraining.org","Prospect","","Responded","B90: Educational Services","B: Education","Education related Org - General","Education","Education - General","-"
"NeoNatal Rescue","neonatalrescue.org","neonatalrescue.org","Prospect","","Nurture","G20: Birth Defects and Genetic Diseases","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","-"
"Hoenir","hoenir.io","hoenir.io","Prospect","","Responded","U40: Engineering and Technology Research, Services","U: Science and Technology","Science & Technology Research Institutes, Services - General","Science & Technology","Science & Technology - General","-"
"southparkreccenter","southparkrec.org","southparkrec.org","Prospect","","Responded","N30: Physical Fitness and Community Recreational Facilities","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","-"
"Oakland Public Conservatory of Music","opcmusic.org","opcmusic.org","Prospect","","Working","A68: Music","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","-"
"Reel Works Teen Filmmaking","https://www.reelworks.org/","reelworks.org","Customer","Churned","Partial Churn","A31: Film, Video","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","-"
"Center for Transitional Living","ctl-ct.org","ctl-ct.org","Prospect","","Opportunity","B25: Secondary/High School","B: Education","K-12 Education","Education","K-12 Education","-"
"Defying Rare","defyingrare.org","defyingrare.org","Prospect","","Opportunity","G20: Birth Defects and Genetic Diseases","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","-"
"Nonprofit","nonprofit.org","nonprofit.org","Prospect","","Nurture","B90: Educational Services","B: Education","Education related Org - General","Education","Education - General","-"
"Dilanfa","dilanfa.com","dilanfa.com","Prospect","","Opportunity","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Action Chapel International","actionchapel.net","actionchapel.net","Prospect","","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"Colorado Mesa University","coloradomesa.edu","coloradomesa.edu","Prospect","Prospect","Working","B83: Student Sororities, Fraternities","B: Education","Education related Org - General","Education","Education - General","-"
"MASJID AL ITTEHAD","masjidalittehad.com","masjidalittehad.com","Prospect","","Working","X40: Islam","X: Religion Related, Spiritual Development","Islamic","Religion","Religion - Islamic","-"
"St Joseph's Indian School","stjo.org","stjo.org","Prospect","","Working","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","-"
"The Tunstall Foundation","tunstallfoundation.org","tunstallfoundation.org","Customer","Churned","Partial Churn","P80: Services to Promote the Independence of Specific Population Groups","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","-"
"Caroline Center","caroline-center.org","caroline-center.org","Prospect","","Working","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","-"
"Community Brands","communitybrands.com","communitybrands.com","Prospect","","Working","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"Geethree Software","geethree.com","geethree.com","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"CC Alliance","ccallaince.org","ccallaince.org","Prospect","","Responded","G83: Alzheimers Disease","G: Diseases, Disorders, Medical Disciplines","Alzheimer's Care","Healthcare","Healthcare - General","-"
"Casa-India","casa-india.org","casa-india.org","Prospect","","Responded","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","-"
"Found Copy","foundcopy.com","foundcopy.com","Prospect","","Responded","A30: Media, Communications Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","-"
"Assembly Global","assemblyglobal.com","assemblyglobal.com","Partner","","Responded","N00: Recreation, Sports, Leisure, Athletics: General","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","-"
"Louisiana State University and Agricultural &amp; Mechanical College","lsu.edu","lsu.edu","Prospect","Prospect","Working","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","-"
"Church Of God In Christ","cogic.org","cogic.org","Prospect","","Working","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"Revive Israel","reviveisrael.org","reviveisrael.org","Prospect","","Customer","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"Drought Revival","droughtrevival.com","droughtrevival.com","Prospect","","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
"Foonlab","foonlab.eu","foonlab.eu","Prospect","","Opportunity","U40: Engineering and Technology Research, Services","U: Science and Technology","Science & Technology Research Institutes, Services - General","Science & Technology","Science & Technology - General","-"
"Walden University","waldenu.edu","waldenu.edu","Prospect","Prospect","Responded","B43: University or Technological Institute","B: Education","Higher Education","Education","Higher Education","-"
"lhproj4","lhproj.com","lhproj.com","Prospect","","Responded","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"T P EQUIPMENT LEASING","akisandallas.onmicrosoft.com","akisandallas.onmicrosoft.com","Prospect","","Opportunity","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","-"
"The Rainbow House Grief Education & Support for Children","rainbowhouse.education","rainbowhouse.education","Prospect","","Responded","B20: Elementary, Secondary Education","B: Education","K-12 Education","Education","K-12 Education","-"
"Google","accounts.google.com","accounts.google.com","Prospect","","Responded","B94: Parent-Teacher Associations PTAs","B: Education","Education related Org - General","Education","Education - General","-"
"Equip Ministry","equipministry.net","equipministry.net","Prospect","","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","-"
