"Account Name","Website","Account Domain","Type","Account Stage","Account Status","NTEE Code (Map to Sub Sectors)","Non-Profit Sector","Non-Profit Sub-Sector","FRU - Sector","FRU - Subsector","TIER"
"ASK Childhood Cancer Foundation","askccf.org","askccf.org","Prospect","Prospect","Working","G30: Cancer","G: Diseases, Disorders, Medical Disciplines","Cancer Treatment","Healthcare","Healthcare - Cancer","TIER 6"
"MX: The Palapa Society","palapasociety.org","palapasociety.org","Customer","Risky","At-Risk","B40: Higher Education Institutions","B: Education","Higher Education","Education","Higher Education","TIER 6"
"Surrey Services for Seniors","surreyservices.org","surreyservices.org","Prospect","Prospect","Working","P81: Senior Centers and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"Circle City Dinner Church","circlecitydinnerchurch.org","circlecitydinnerchurch.org","Customer","Churned","Partial Churn","S31: Urban, Community Economic Development","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"NEW York Cardiac Center, Inc.","nycardiaccenter.org","nycardiaccenter.org","Prospect","","Meeting Rescheduled","G90: Medical Disciplines","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 6"
"LWHA: A No-Kill Haven","littlewomanhome.org","littlewomanhome.org","Prospect","","Meeting Rescheduled","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"Jim McAleer","https://www.alzoc.org/","alzoc.org","Prospect","Prospect","Meeting Rescheduled","G83: Alzheimer's Disease","G: Diseases, Disorders, Medical Disciplines","Alzheimer's Care","Healthcare","Healthcare - General","TIER 6"
"Youth Action Programs And Homes, Inc.","youthaction.nyc","youthaction.nyc","Customer","Churned","Partial Churn","L20: Housing Development, Construction, Management","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"First Night Boston","firstnightboston.org","firstnightboston.org","Prospect","","Meeting Rescheduled","A20: Arts, Cultural Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Light Bringer Project","lightbringerproject.org","lightbringerproject.org","Customer","Risky","At-Risk","A25: Arts Education, Schools of Art","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Advita Fund USA","advitausa.org","advitausa.org","Customer","Customer Active","Customer","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 6"
"MomsintheMaking","momsinthemaking.com","momsinthemaking.com","Customer","Customer Active","Customer","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 6"
"Hilfeverein AdVita e.V.","advitaeu.com","advitaeu.com","Customer","Customer Active","Customer","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 6"
"All Things Ministries","allthingsministries.com","allthingsministries.com","Customer","Customer Active","Customer","X12: Religion-Related Fund Raising and Fund Distribution","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 6"
"Love Matters Most","lovemattersmost.org","lovemattersmost.org","Customer","Customer Active","Customer","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 6"
"The Global FoodBanking Network","foodbanking.org","foodbanking.org","Customer","Customer Active","Customer","K30: Food Service, Free Food Distribution Programs","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 6"
"The Visiting Angels Foundation","garecht.com","garecht.com","Customer","Customer Active","Customer","T30: Public Foundations","T: Philanthropy, Voluntarism, and Grant making Foundations","Public Foundations","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Prospect Park","prospectpark.org","prospectpark.org","Prospect","Prospect","Responded","N11: Recreation and Sports Single Organization Support","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Global Citizen","globalcitizen.org","globalcitizen.org","Customer","Customer Active","Customer","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 6"
"Cara","caracollective.org","caracollective.org","Prospect","Prospect","Working","J20: Employment Procurement Assistance and Job Training","J: Employment, Job Related","Employment & Job Related Org - General","Public and Society Benefit","Public & Society Benefit - Employment, Job","TIER 6"
"St. Vincent de Paul Society of Milwaukee","svdpmilw.org","svdpmilw.org","Prospect","Prospect","Working","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 6"
"ArtsQuest","artsquest.org","artsquest.org","Prospect","Prospect","Working","A20: Arts, Cultural Organizations","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Mural Arts Philadelphia","muralarts.org","muralarts.org","Prospect","Prospect","Working","A40: Visual Art Organizations, Services","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 6"
"Council on American-Islamic Relations (CAIR) Florida","cairflorida.org","cairflorida.org","Customer","Customer Active","Customer","R60: Civil Liberties Advocacy","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 6"
"Flower City Arts Center","flowercityarts.org","flowercityarts.org","Customer","Customer Active","Customer","A25: Arts Education, Schools of Art","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Diabetes Research Connection","diabetesresearchconnection.org","diabetesresearchconnection.org","Customer","Customer Active","Customer","H00: Medical Research: General","H: Medical Research","Medical Research - General","Healthcare","Healthcare - General","TIER 6"
"Mentor International","mentorinternational.org","mentorinternational.org","Customer","Customer Active","Customer","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 6"
"Only One","only.one","only.one","Prospect","Prospect","Meeting Rescheduled","C30: Natural Resources Conservation and Protection","C: Environmental Quality, Protection, and Beautification","Climate protection","Environment","Environment - General","TIER 6"
"Ohio Valley Goodwill Industries","cincinnatigoodwill.org","cincinnatigoodwill.org","Prospect","Prospect","Working","J30: Vocational Rehabilitation","J: Employment, Job Related","Employment & Job Related Org - General","Public and Society Benefit","Public & Society Benefit - Employment, Job","TIER 6"
"Acterra","acterra.org","acterra.org","Customer","Customer Active","Customer","C20: Pollution Abatement and Control Services","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 6"
"Rebuilding Alliance","rebuildingalliance.org","rebuildingalliance.org","Prospect","Prospect","Working","Q20: International Exchanges, Cultural Understanding","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 6"
"CHOOSE 180","choose180.org","choose180.org","Prospect","Prospect","Responded","O50: Youth Development Programs, Other","O: Youth Development","Youth Development Programs","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Community Partners International","cpintl.org","cpintl.org","Customer","Customer Active","Customer","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 6"
"Project H.O.P.E.","projecthopecamden.org","projecthopecamden.org","Prospect","","Working","E32: Ambulatory Health Center, Community Clinic","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 6"
"Methodist Home For Children","mhfc.org","mhfc.org","Prospect","Prospect","Working","P70: Residential, Custodial Care (Group Home)","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"JW House","jwhouse.org","jwhouse.org","Prospect","Prospect","Responded","E86: Patient Services","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 6"
"Broadway Sacramento","broadwaysacramento.com","broadwaysacramento.com","Prospect","Prospect","Working","A65: Theater","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Adopt-A-Classroom","adoptaclassroom.org","adoptaclassroom.org","Prospect","","Self-Onboarding","P31: Adoption","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Step Up on Second Street","stepup.org","stepup.org","Prospect","Prospect","Working","P80: Services to Promote the Independence of Specific Population Groups","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"Fulfillment Fund","fulfillment.org","fulfillment.org","Prospect","Prospect","Working","B90: Educational Services","B: Education","Education related Org - General","Education","Education - General","TIER 6"
"The BOMA Project","boma.ngo","boma.ngo","Prospect","Prospect","Working","Q30: International Development, Relief Services","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 6"
"National Museum of American Jewish History","theweitzman.org","theweitzman.org","Prospect","Prospect","Working","A50: Museums","A: Arts, Culture, and Humanities","Museums","Arts & Culture","Arts & Culture - General","TIER 6"
"Northstar Foundation","northstar360.org","northstar360.org","Prospect","Prospect","Working","O40: Scouting Organizations","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Medical Bridges","medicalbridges.org","medicalbridges.org","Prospect","Prospect","Responded","E60: Health Support Services","E: Health","Health related Non Profit - General","Healthcare","Healthcare - General","TIER 6"
"TDA-International","tdaint.org","tdaint.org","Prospect","","Responded","Q30: International Development","Q: International, Foreign Affairs, and National Security","International, Foreign Affairs, and National Security - General","International Affairs","International Affairs - General","TIER 6"
"Al-Salam Day School","alsalamdayschool.org","alsalamdayschool.org","Customer","Churned","Partial Churn","B20: Elementary, Secondary Education","B: Education","K-12 Education","Education","K-12 Education","TIER 6"
"Brave Gowns","bravegowns.com","bravegowns.com","Prospect","","Meeting Rescheduled","S50: Nonprofit Management","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"Santa Maria Hostel, Inc.","santamariahostel.org","santamariahostel.org","Prospect","Prospect","Working","F33: Group Home, Residential Treatment Facility-Mental Health Related","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 6"
"Girl Scouts of Orange County","girlscoutsoc.org","girlscoutsoc.org","Prospect","Prospect","Working","O40: Scouting Organizations","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Hope Through Housing Foundation","hthf.org","hthf.org","Prospect","Prospect","Working","L80: Housing Support Services","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"New Life Solutions","newlifesolutions.org","newlifesolutions.org","Prospect","Prospect","Working","R62: Right to Life","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 6"
"Benevilla","benevilla.org","benevilla.org","Prospect","Prospect","Working","P75: Senior Continuing Care Communities","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Safer Foundation","saferfoundation.org","saferfoundation.org","Prospect","Prospect","Working","I40: Rehabilitation Services for Offenders","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 6"
"Center for the Visually Impaired","cviga.org","cviga.org","Prospect","Prospect","Responded","G40: Diseases of Specific Organs","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 6"
"Sports World","sportsworld.org","sportsworld.org","Prospect","","Responded","O55: Youth Development-Religious Leadership","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Liberty's Promise","libertyspromise.org","libertyspromise.org","Customer","Customer Active","Customer","P80: Services to Promote the Independence of Specific Population Groups","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"Discovering The Jewish Jesus","discoveringthejewishjesus.com","discoveringthejewishjesus.com","Prospect","","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 6"
"Vincent Village","vincentvillage.org","vincentvillage.org","Prospect","Prospect","Working","L41: Homeless, Temporary Shelter","L: Housing, Shelter","Temporary Shelter for the Homeless","Human Services","Human Services - Housing, Shelter","TIER 6"
"Impact on Education","impactoneducation.org","impactoneducation.org","Customer","Customer Active","Customer","B90: Educational Services","B: Education","Education related Org - General","Education","Education - General","TIER 6"
"A Simple Gesture","asimplegesturegso.org","asimplegesturegso.org","Prospect","","Meeting Lost","K31: Food Banks, Food Pantries","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 6"
"International Center for Clubhouse Dev Inc","clubhouse-intl.org","clubhouse-intl.org","Customer","Customer Active","Customer","F01: Mental Health and Crisis Intervention Alliances and Advocacy","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 6"
"Fearless! HV","fearlesshv.org","fearlesshv.org","Prospect","","Working","P43: Family Violence Shelters and Services","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Kids On The Move","kotm.org","kotm.org","Customer","Risky","At-Risk","B21: Nursery School, Early School Admissions, Kindergarten","B: Education","K-12 Education","Education","K-12 Education","TIER 6"
"Ilconservation","ilconservation.org","ilconservation.org","Prospect","Prospect","Working","C30: Natural Resources Conservation and Protection","C: Environmental Quality, Protection, and Beautification","Climate protection","Environment","Environment - General","TIER 6"
"The Cycle Effect","thecycleeffect.org","thecycleeffect.org","Prospect","Prospect","Working","N60: Amateur Sports Clubs, Leagues","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Panhandle Community Services","pcsvcs.org","pcsvcs.org","Customer","Customer Active","Customer","P60: Emergency Assistance","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Indraloka Animal Sanctuary","indraloka.org","indraloka.org","Prospect","Prospect","Responded","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"Friends of Miami Animals","fomapets.org","fomapets.org","Prospect","","Meeting Rescheduled","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"First Century Foundations","firstcenturyfoundations.com","firstcenturyfoundations.com","Prospect","","Self-Onboarding","P12: Human Services Fund Raising and Fund Distribution","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"Step Ahead Scholars","stepaheadscholars.org","stepaheadscholars.org","Prospect","","Responded","B80: Student Services and Organizations of Students","B: Education","Education related Org - General","Education","Education - General","TIER 6"
"Gift of Caring Ministry","giftofcaring.org","giftofcaring.org","Prospect","","Responded","A70: Humanities Organizations","A: Arts, Culture, and Humanities","Humanities Organizations","Arts & Culture","Arts & Culture - General","TIER 6"
"Love Out Loud Giving","loveoutloudgiving.org","loveoutloudgiving.org","Customer","Churned","Partial Churn","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 6"
"The Community Hospice","communityhospice.org","communityhospice.org","Prospect","Prospect","Working","P74: Hospice","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"FOODBANK COUNCIL OF MICHIGAN INC","https://www.fbcmich.org/","fbcmich.org","Prospect","Prospect","Working","K30: Food Service, Free Food Distribution Programs","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 6"
"SBIDC","sbidc.org","sbidc.org","Prospect","","Responded","S31: Urban, Community Economic Development","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"The Children's Cancer Foundation,","childrenscancerfoundation.org","childrenscancerfoundation.org","Prospect","Prospect","Working","G30: Cancer","G: Diseases, Disorders, Medical Disciplines","Cancer Treatment","Healthcare","Healthcare - Cancer","TIER 6"
"Rebuilding Together Fox Valley","rtfv.org","rtfv.org","Customer","Churned","Partial Churn","L80: Housing Support Services","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"Pickens County Meals on Wheels","pcmow.org","pcmow.org","Customer","Customer Active","Customer","K30: Food Service, Free Food Distribution Programs","K: Food, Agriculture, and Nutrition","Food Banks, Food Pantries","Food & Nutrition","Food Banks","TIER 6"
"Tampagators","tampagators.com","tampagators.com","Prospect","","Meeting Rescheduled","N60: Sports","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Dove Project","dove-project.org","dove-project.org","Customer","Risky","At-Risk","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"Friends of Strays","friendsofstrays.org","friendsofstrays.org","Customer","Customer New","Customer","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"Art Room","artroomfw.org","artroomfw.org","Prospect","","Meeting Rescheduled","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 6"
"MannaOceanFoundation","mannaoceanfoundation.com","mannaoceanfoundation.com","Prospect","","Meeting Rescheduled","C60: Environmental Protection & Conservation","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 6"
"Saint Paul's Anglican Church","saintpaulsmelbourne.org","saintpaulsmelbourne.org","Prospect","Prospect","Responded","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 6"
"Red T","red-t.org","red-t.org","Prospect","","Meeting Rescheduled","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 6"
"Ironbound Boxing & Education","ironboundboxing.org","ironboundboxing.org","Customer","Customer Active","Customer","N60: Amateur Sports Clubs, Leagues","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Forgotten Not Gone","forgottennotgone.org","forgottennotgone.org","Customer","Risky","At-Risk","F40: Hot Line, Crisis Intervention Services","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 6"
"National Right to Work Committee","nrtwc.org","nrtwc.org","Prospect","Prospect","Working","J01: Employment Alliances and Advocacy","J: Employment, Job Related","Employment & Job Related Org - General","Public and Society Benefit","Public & Society Benefit - Employment, Job","TIER 6"
"Harmony Labs","harmonylabs.org","harmonylabs.org","Prospect","Prospect","Working","A31: Film, Video","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 6"
"FreedomWorks Foundation","freedomworks.org","freedomworks.org","Customer","Churned","Partial Churn","C01: Environment Alliances and Advocacy","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 6"
"GoodWeave International","goodweave.org","goodweave.org","Prospect","Prospect","Working","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 6"
"Evolve Tranzishenz Houz Inc.","evolvetranzishenzhouz.org","evolvetranzishenzhouz.org","Prospect","","Self-Onboarding","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 6"
"Pontchartrain Conservancy","scienceforourcoast.org","scienceforourcoast.org","Prospect","Prospect","Working","C32: Water Resource, Wetlands Conservation and Management","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 6"
"NYC Outward Bound Schools","nycoutwardbound.org","nycoutwardbound.org","Prospect","Prospect","Working","C60: Environmental Education","C: Environmental Quality, Protection, and Beautification","Environmental Quality, Protection, and Beautification - General","Environment","Environment - General","TIER 6"
"Blue Line Arts","bluelinearts.org","bluelinearts.org","Prospect","","Working","A40: Visual Art Organizations, Services","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 6"
"EveryCat Health Foundation","everycat.org","everycat.org","Prospect","","Responded","D20: Animal Protection","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"Amplio Network","amplio.org","amplio.org","Prospect","","Meeting Rescheduled","B92: Remedial Reading, Reading Encouragement Programs","B: Education","Education related Org - General","Education","Education - General","TIER 6"
"Unleashed Pet Rescue","unleashedrescue.com","unleashedrescue.com","Prospect","Prospect","Meeting Set","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"Center for Policing Equity","https://policingequity.org/","policingequity.org","Customer","Customer Active","Customer","R01: Civil Rights, Social Action and Advocacy Alliances and Advocacy","R: Civil Rights, Social Action, Advocacy","Civil Rights, Social Action and Advocacy - General","Human Services","Human Services - Civil Rights, Social Justice","TIER 6"
"Arab Film and Media Institute","arabfilminstitute.org","arabfilminstitute.org","Prospect","","Opportunity","A31: Film, Video","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 6"
"The Boundless School","theboundlessschool.com","theboundlessschool.com","Prospect","Prospect","Responded","B20: Elementary & Secondary Schools","B: Education","K-12 Education","Education","K-12 Education","TIER 6"
"San Luis Obispo Repertory Theatre","slorep.org","slorep.org","Prospect","Prospect","Working","A65: Theater","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Wolf Trap Animal Rescue","www.wtarescue.com","wtarescue.com","Prospect","","Working","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"The Caring Place","caringplacetx.org","caringplacetx.org","Prospect","Prospect","Responded","P60: Emergency Assistance","P: Human Services - Multipurpose and Other","Human Services - General","Human Services","Human Services - General","TIER 6"
"NTDTV Los Angeles","ntdtvla.com","ntdtvla.com","Prospect","","Self-Onboarding","A34: Radio","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - Media","TIER 6"
"Emmaus Ministry","emmausministry.org","emmausministry.org","Prospect","","Responded","P20: Human Service Organizations","P: Human Services - Multipurpose and Other","Human Service Organizations","Human Services","Human Services - General","TIER 6"
"Knoxville Catholic High School","knoxvillecatholic.com","knoxvillecatholic.com","Customer","Customer Active","Customer","X00: Religion: General","X: Religion Related, Spiritual Development","Religion Related, Spiritual Development - General","Religion","Religion - General","TIER 6"
"Asian American Federation","aafederation.org","aafederation.org","Prospect","Prospect","Working","R20: Civil Rights, Advocacy for Specific Groups","R: Civil Rights, Social Action, Advocacy","Civil Rights, Advocacy for Specific Groups","Human Services","Human Services - Civil Rights, Social Justice","TIER 6"
"The ALS Association - Greater New York Chapter","als-ny.org","als-ny.org","Prospect","Prospect","Working","G50: Nerve, Muscle, and Bone Diseases","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 6"
"Fiver Children's Foundation","fiver.org","fiver.org","Prospect","Prospect","Working","O40: Scouting Organizations","O: Youth Development","Youth Development Orgs Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Hoving Home","hovinghome.org","hovinghome.org","Prospect","Prospect","Working","F33: Group Home, Residential Treatment Facility-Mental Health Related","F: Mental Health, Crisis Intervention","Mental health and crisis intervention org - General","Healthcare","Healthcare - Mental Health, Abuse","TIER 6"
"Chess in the Schools","chessintheschools.org","chessintheschools.org","Prospect","Prospect","Working","N50: Recreational, Pleasure, or Social Club","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Diabetes Foundation","diabetesfoundationinc.org","diabetesfoundationinc.org","Customer","Customer Active","Customer","G80: Specifically Named Diseases","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 6"
"RT Dutchess","rebuildingtogetherdutchess.org","rebuildingtogetherdutchess.org","Prospect","","Responded","L80: Housing Support Services","L: Housing, Shelter","Housing Support Services - General","Human Services","Human Services - Housing, Shelter","TIER 6"
"African Women Rising","africanwomenrising.org","africanwomenrising.org","Prospect","Prospect","Responded","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 6"
"UNICEF Bulgaria","unicef.bg","unicef.bg","Prospect","","Meeting Lost","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 6"
"DC History Center","dchistory.org","dchistory.org","Prospect","Engaged Prospect","Meeting Lost","A80: Historical Societies, Historical Preservation","A: Arts, Culture, and Humanities","Arts, Culture, and Humanities Org - General","Arts & Culture","Arts & Culture - General","TIER 6"
"Global Action International","globalaction.ngo","globalaction.ngo","Customer","Customer Active","Customer","Q33: International Relief","Q: International, Foreign Affairs, and National Security","International Relief","International Affairs","International Affairs - General","TIER 6"
"Restoring Justice","restoringjustice.org","restoringjustice.org","Prospect","","Meeting Rescheduled","I40: Rehabilitation Services for Offenders","I: Crime, Legal Related","Crime and Legal related Org - General","Public and Society Benefit","Public & Society Benefit - Crime, Legal","TIER 6"
"Second Chance Humane Society","www.secondchancehumane.org","secondchancehumane.org","Prospect","","Responded","D20: Animal Protection and Welfare","D: Animal-Related","Animal Welfare","Animal Welfare","Animal Welfare - General","TIER 6"
"One Mind","onemind.org","onemind.org","Customer","Customer Active","Customer","H00: Medical Research: General","H: Medical Research","Medical Research - General","Healthcare","Healthcare - General","TIER 6"
"Disaster Central","disastercentral.org","disastercentral.org","Prospect","Prospect","Meeting Rescheduled","B00: Education: General","B: Education","Education related Org - General","Education","Education - General","TIER 6"
"Project ALS","projectals.org","projectals.org","Customer","Customer Active","Customer","G50: Nerve, Muscle, and Bone Diseases","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 6"
"Prevent Blindness","preventblindness.org","preventblindness.org","Customer","Churned","Partial Churn","G40: Diseases of Specific Organs","G: Diseases, Disorders, Medical Disciplines","Diseases, Disorders, Medical Disciplines - General","Healthcare","Healthcare - General","TIER 6"
"Farm Aid","farmaid.org","farmaid.org","Prospect","Prospect","Working","K20: Agricultural Programs","K: Food, Agriculture, and Nutrition","Food, Agriculture, Nutrition Org - General","Food & Nutrition","Food - General","TIER 6"
"Adya Teral Domi Baye","adyateraldomibaye.com","adyateraldomibaye.com","Prospect","Prospect","Meeting Rescheduled","S40: Business & Industry","S: Community Improvement, Capacity Building","Community Improvement, Capacity Building - General","Public and Society Benefit","Public & Society Benefit - General","TIER 6"
"National Sports Center for the Disabled Inc.","nscd.org","nscd.org","Customer","Customer Active","Customer","N70: Amateur Sports Competitions","N: Recreation, Sports, Leisure, Athletics","Recreation, Sports, or Leisure Activities Org - General","Human Services","Human Services - Sports & Youth Development","TIER 6"
"Project Orphans","projectorphans.org","projectorphans.org","Prospect","","Meeting Rescheduled","X20: Christian","X: Religion Related, Spiritual Development","Christian","Religion","Religion - Christian","TIER 6"
