Account Name,Account ID,Account Tier (Volume File),TIER (Religious Subset),Total Donation Volume $,Matched Volume Account Name,Match Type,Religious Match Reason
Derbyshire Islamic Centre,,,TIER 6,,,not_found,Account Name: islam; Account Name: islamic
Doorways Interfaith AIDS Housing and Services,,,TIER 6,,,not_found,Account Name: faith
Ekisa Ministries International,,,TIER 6,,,not_found,Account Name: ministries
Enfield Town Islamic Center,,,TIER 6,,,not_found,Account Name: islam; Account Name: islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
Every Home for Christ International/Canada,,,TIER 5,,,not_found,Account Name: christ
Every Tribe Dba Light For Ukraine,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Far East Broadcasting Company,,,TIER 3,,,not_found,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Financial Issues Stewardship Ministries,,,TIER 4,,,not_found,Account Name: ministries; NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Forman Christian College Inc,,,TIER 6,,,not_found,Account Name: christian; Account Name: christ
Freedom International Christian Training Center,,,TIER 6,,,not_found,Account Name: christian; Account Name: christ; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
God TV Germany,,,TIER 6,,,not_found,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Gospa Mission,,,TIER 6,,,not_found,Account Name: mission
Great Lakes Outreach,,,TIER 3,,,not_found,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Hilfeverein AdVita e.V.,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Hope Mission Welfare Society in Malayasia,,,TIER 4,,,not_found,Account Name: mission
Inheritance International Ministries,,,TIER 6,,,not_found,Account Name: ministries
Innocence Rescue Mission,,,TIER 5,,,not_found,Account Name: mission
International Fellowship of Christians and Jews Canada,,,TIER 3,,,not_found,Account Name: christian; Account Name: christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
International Fellowship of Evangelical Students,,,TIER 3,,,not_found,Account Name: evangelical; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
International Justice Mission Canada,,,TIER 2,,,not_found,Account Name: mission
International Justice Mission Deutschland,,,TIER 4,,,not_found,Account Name: mission
International Justice Mission Switzerland,,,TIER 6,,,not_found,Account Name: mission
Islamic Center of Warren & Iqra Academy (DBA),,,TIER 6,,,not_found,Account Name: islam; Account Name: islamic
Islamic Education and Research Academy (iera),,,TIER 4,,,not_found,Account Name: islam; Account Name: islamic; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Islamic Family & Social Services Association (IFSSA),,,TIER 6,,,not_found,Account Name: islam; Account Name: islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
Islamic Seminary of America,,,TIER 6,,,not_found,Account Name: islam; Account Name: islamic
Israel Movement for Progressive Judaism,,,TIER 5,,,not_found,Account Name: judaism; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Jesuit Refugee Service UK,,,TIER 6,,,not_found,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Jewish Community of Rostov,,,TIER 6,,,not_found,Account Name: jewish; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Jewish Immigrant Aid Services (JIAS),,,TIER 6,,,not_found,Account Name: jewish
Jewish Museum Berlin,,,TIER 5,,,not_found,Account Name: jewish
Kenneth Copeland Ministries Europe,,,TIER 3,,,not_found,Account Name: ministries
Keren Hayeled Hatzalah,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Kingdom Realm Ministries dba Encounter Asia,,,TIER 6,,,not_found,Account Name: ministries
Known Network,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Life In Messiah,,,TIER 4,,,not_found,NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
Light Bearers Ministry,,,TIER 3,,,not_found,Account Name: ministry; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Madinah Charity,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Market Street Mission Inc,,,TIER 2,,,not_found,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
MCC Programs,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Mifal Klita,,,TIER 6,,,not_found,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Mission Aviation Fellowship (MAF) USA,,,TIER 3,,,not_found,Account Name: mission; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Mission Edge,,,TIER 5,,,not_found,Account Name: mission
Mission Lazarus Inc,,,TIER 5,,,not_found,Account Name: mission
MomsintheMaking,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
MTJ Foundation Canada,,,TIER 5,,,not_found,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
Muslim association of Virginia,,,TIER 3,,,not_found,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Muslim Burial Fund,,,TIER 4,,,not_found,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
Muslim Community Center of New York City,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): islam; NTEE Code (Map to Sub Sectors): islamic; Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: islam; FRU - Subsector: islamic; NTEE code family: X (religion related/spiritual development)
New Life Canada,,,TIER 6,,,not_found,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
Ngakpa International,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Ottawa Mission,,,TIER 2,,,not_found,Account Name: mission; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Paul Wilbur Ministries,,,TIER 4,,,not_found,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Pension Board United Church of Christ,,,TIER 6,,,not_found,Account Name: church; Account Name: christ; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
PowerhouseMinistries,,,TIER 5,,,not_found,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Premier Christian Media Trust,,,TIER 3,,,not_found,Account Name: christian; Account Name: christ
Prophet Rob Sanchez,,,TIER 5,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Religion News Foundation,,,TIER 6,,,not_found,Account Name: religion
Retain Quran Foundation,,,TIER 6,,,not_found,Account Name: quran
Ryan Cole,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Sacred Heart Mission Inc,,,TIER 5,,,not_found,Account Name: mission
Saint Anthonys Shrine Foundation,,,TIER 3,,,not_found,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Scottish Catholic International Aid Fund,,,TIER 4,,,not_found,Account Name: catholic
SikhNet Inc,,,TIER 5,,,not_found,Account Name: sikh; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Society of St. Vincent DePaul Ireland,,,TIER 1,,,not_found,Non-Profit Sector: religion
Sower of Seeds International Ministries,,,TIER 3,,,not_found,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Spoken Gospel Inc,,,TIER 4,,,not_found,Account Name: gospel; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
spots.school,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
The Central British Fund For World Jewish Relief,,,TIER 3,,,not_found,Account Name: jewish
The Hope Line,,,TIER 5,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
The Interfaith Nutrition Network,,,TIER 3,,,not_found,Account Name: faith
The Jewish Federation of Greater Hartford,,,TIER 5,,,not_found,Account Name: jewish; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
The Jewish Federation of Greater MetroWest NJ,,,TIER 5,,,not_found,Account Name: jewish; NTEE Code (Map to Sub Sectors): jewish; Non-Profit Sector: religion; Non-Profit Sub-Sector: jewish; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: jewish; NTEE code family: X (religion related/spiritual development)
The Oaxaca Learning Center,,,TIER 6,,,not_found,Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ
The Salvation Army Italy and Greece,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
The Witness,,,TIER 5,,,not_found,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
Third Millennium Ministries,,,TIER 4,,,not_found,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Tibyan Center for Quranic Sciences,,,TIER 6,,,not_found,Account Name: quran
Turun Islamilainen,,,TIER 6,,,not_found,Account Name: islam
Two Journeys Ministry,,,TIER 6,,,not_found,Account Name: ministry; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
UkraineRelief,,,TIER 5,,,not_found,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Union Congregational Church Crested Butte,,,TIER 6,,,not_found,Account Name: church; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
Union Gospel Mission Foundation,,,TIER 1,,,not_found,Account Name: gospel; Account Name: mission
"WayForward Resources, Inc. (formerly Middleton Outreach Ministry)",,,TIER 4,,,not_found,Account Name: ministry
West Sound YFC,,,TIER 6,,,not_found,NTEE Code (Map to Sub Sectors): religious
Winning Walk Ministry,,,TIER 3,,,not_found,Account Name: ministry; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
"Wisconsin Evangelical Lutheran Synod Kingdom Workers, Inc.",,,TIER 3,,,not_found,Account Name: evangelical; Account Name: lutheran; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
World Healing Center Church inc. (DBA Benny Hinn Ministries),,,TIER 3,,,not_found,Account Name: ministries; Account Name: church; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
