account_id,account_name_2025,account_name_2024,cohort_2025,in_2024_all_accounts,gpv_2024_usd,gpv_2025_usd,delta_2025_vs_2024_usd,yoy_2025_vs_2024_pct,account_tier_2025,religious_tier_2025,match_type,religious_match_reason
AKXAJEJH,Mission Local,,new_2025,no,0.00,331046.00,331046.00,,Tier 4 ($10K–$20K),TIER 3,exact,Account Name: mission
AYDQYGVS,God TV,God TV,legacy_2025,yes,326851.00,328439.00,1588.00,0.49,Tier 4 ($10K–$20K),TIER 4,exact,NTEE Code (Map to Sub Sectors): religious; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
AVYFCBDN,United Women in Faith,United Women in Faith,legacy_2025,yes,311819.00,328135.00,16316.00,5.23,Tier 2 ($50K–$100K),TIER 5,exact,Account Name: faith; NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ABTKDNVE,Lillian and Albert Small Capital Jewish Museum,Lillian And Albert Small Capital Jewish Museum,legacy_2025,yes,73935.00,316494.00,242559.00,328.07,Tier 5 ($5K–10K),TIER 5,normalized,Account Name: jewish
AMDPPTUU,Ron Cantor,Ron Cantor,legacy_2025,yes,459828.00,306425.00,-153403.00,-33.36,,-,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ATNQTFDX,Memphis Islamic Center,,new_2025,no,0.00,306200.00,306200.00,,,TIER 4,exact,Account Name: islam; Account Name: islamic
ONGFMXHZ,Family Promise of Spokane,Family Promise of Spokane,legacy_2025,yes,276423.00,285054.00,8631.00,3.12,Tier 5 ($5K–10K),TIER 6,exact,NTEE Code (Map to Sub Sectors): religion; Non-Profit Sector: religion; Non-Profit Sub-Sector: religion; FRU - Sector: religion; FRU - Subsector: religion; NTEE code family: X (religion related/spiritual development)
ABUTHCMZ,Al Isharah,Al Isharah,legacy_2025,yes,254910.00,284038.00,29128.00,11.43,Tier 6 (<$5K),TIER 5,exact,Non-Profit Sector: religion; Non-Profit Sub-Sector: islam; Non-Profit Sub-Sector: islamic
ASFJMTYR,Kingdom Rain,Kingdom Rain,legacy_2025,yes,210968.00,278130.00,67162.00,31.84,Tier 6 (<$5K),TIER 5,exact,NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
ATSNCDWC,Mike Signorelli Ministries,Mike Signorelli Ministries,legacy_2025,yes,189743.00,275303.00,85560.00,45.09,Tier 6 (<$5K),TIER 5,exact,Account Name: ministries; NTEE Code (Map to Sub Sectors): christian; NTEE Code (Map to Sub Sectors): christ; Non-Profit Sector: religion; Non-Profit Sub-Sector: christian; Non-Profit Sub-Sector: christ; FRU - Sector: religion; FRU - Subsector: religion; FRU - Subsector: christian; FRU - Subsector: christ; NTEE code family: X (religion related/spiritual development)
